id	point	document	label
1218049409	4	사람이 너무 많아서 오픈시간쯔음 가도 대기해야해요!  그래도 맛있습니다.	0
1218049409	5	사람이 항상 많지만 맛있어요	0
1218049409	3.5	Dyfigifhcjvjvjv	1
1218049409	5	샤로수길에서 내가 가장 좋아하는 가게!! 연인과 와도 좋고 친구랑 와도 좋은 곳~~~ 데리고 왔던 사람들 다 만족하고 돌아감!	0
1218049409	5	맛있음 왜 사람 많은지 알 것 같음	0
1218049409	4	부타동  돼지고기   맛있네요. 불향과  적절한  단짠의  조합 좋아요.  다만  부타동  담은  그릇  이가  깨져있는데  작은것  하나까지  세심하게  고려해  주셨으면  하네요.	0
1218049409	5	오 플레이팅만 아기자기 이쁜 줄 알았더니 생각보다기대이상 맛있었어요 >_< 5시 땡치고 바로 갔는데 사람 많더라구요 샤로수길 가시면 한번 꼭 가보는걸 추천해요~!	0
1218049409	3.5	음식은 맛있는데, 에어컨이 너무 추워요... 주말이어서 그런지 웨이팅은 많이 길고, 생각보다 엄청 시끄러웠네요 ㅜㅜ	1
1218049409	4	덮밥 맛있음. 크림소다는... 비추  같이간 사람이 맛있다고 두잔이나 먹었우나, 나는 별로	0
1218049409	5	부타동에 생맥주 한잔 완전 good!😋	0
1218049409	4	웨이팅한 보람이 있는 곳이에요!!	0
1218049409	0.5	음식은 그냥 괜찮은데 서빙해주는 알바여자 진짜 불친절해요 오늘 집게핀 하신 여자분 ㅎㅎ 판좀 치워달라니까 상치울때불편하다고 안된다고해서 다시 부탁 드렷더니 나갈때까지 째려보고 본인들끼리 얘기햇는지 밥먹는데 쳐다보질 않나 ㅎㅎ 가관이네용 ~	1
1218049409	5	샤로수길 식당 중 나름 큰 편이지만 웨이팅은 항상 있어요 정갈한 일식 먹기에 좋아요	0
1218049409	5	생각보다 맛있어서 놀랐어요!	0
1218049409	5	부모님도 좋아하시네요~^^	0
1218049409	4.5	양은 좀 적지만 맛있었어요	0
1218049409	3.5	샤로수길은 과대평가됐음	1
1218049409	1	양만 더 있었다면..양부족..	1
1218049409	4.5	분위기도 좋고 너무 맛났어요!	0
1218049409	4	웨이팅 길었지만 맛은 괜찮았어요	0
1218049409	5	샤로수길 중에 제 최애예요 진짜 너무 맛있어요 덮밥도 맛있고 오므라이스도 가츠산도도 넘 맛있어요	0
1218049409	2	양이 너무 적고 맛도 특별하지 않아요. 사람 많아서 시끄럽고 비싸기만 해요. 굳이 갈 이유는 없는 듯.	1
1218049409	5	양도 적당하고 내부도 느낌있으	0
1218049409	5	처음 가봤는데 정말 맛있어요. 음식이 깔끔하고 맛있어서 좋았어요. 다만 양이 조금 가격에 비해 적긴한데 그래도 다음에 또 가고싶은 맛이였어요.	0
1218049409	5	직원분이 참 친절하셔서 다행입니다!	0
1218049409	2	응대가 조금 아쉬워요.. 한시간 기다리고 먹을 정도인지는 모르겠어요 플레이팅은 예뻐요	1
1218049409	4	점심 웨이팅은 없었는데 한끼로 깔끔 다만 양이 좀 적네요	0
1218049409	5	겨울메뉴도 있었는지 몰랐어요 맛있게 잘 먹었습니다 멘치카츠, 아부리동 추천해요. 카츠산도, 오므라이스, 사케동, 부타동도 맛있었어요!  부타동은 무난~!	0
1218049409	3	맛은 달고 사람 많아요	1
1218049409	5	너무 맛있게 먹었어요~	0
1999378240	4	맛있어요~다만 웨이팅이 좀 많았어요ㅠㅜ	0
1999378240	3.5	분명음식은 맛있어요.직원분들도 친절해요. 다만..에어컨을틀면 환기시설이 없어서;; 연기다마셔요;; 눈따갑고 목따갑고.. 환기시설 시급해보여요.	1
1999378240	5	음식들도 맛있구요! 무엇보다 직원분들이 다 친절하셔서 편하게 먹었습니다!	0
1999378240	5	치즈쭈꾸미에 밥 모두 다 맛나요!!	0
1999378240	2.5	진짜 음식이 너무 늦게 나와요	1
1999378240	4	사장님도 직원분들도 친절하셨어요	0
1999378240	4	사장님도친절하시고맛잇어요	0
1999378240	4.5	정말 정말 맛집. 눈꽃세트 꼭 먹어보세요. 비주얼도 맛도 최고! 직원분이 홀에 혼자 바빠 보이셔서 안쓰러웠어욤...😢	0
1999378240	5	철판쭈꾸미는 다른 곳에서도 많이 먹어봤는데 석쇠쭈꾸미는 처음먹어봤어요!! 치즈도 보는 앞에서 직접 토치로 녹혀주시는데 세상 쩌는 비주얼 실화입니까? 매운 쭈꾸미에 치즈가 감싸져있어 중화되고 쭈꾸미 만두 진짜 미쳤네요.. 감자피인지 쫀득한게 식어도 너무 맛있더라고요 쭈꾸미 비빔밥도 진짜 맛있습니다 걍 맛없는걸 못하는 사장님인듯 .. 재방문의사 당연히 있고 지인분들에게도 추천해주고싶은 맛집이네요	0
1999378240	4	석쇠 쭈꾸미!! 깔끔하고!	0
1999378240	5	또 올 마음있음!!!	0
1999378240	5	쭈꾸미 삼겹살 정말 맛있어요 그리고 볶음밥도 고소하니 최고	0
1999378240	5	사장님 직원들 친절하시고  정말맛집이에요~~매콤달콤 쭈꾸미와 비빔밥 정말 훌륭합니다!!!	0
1999378240	5	쭈꾸미 진짜 맛있고, 기본 찬들도 최고~	0
1999378240	4.5	맛있어요. 다음엔 재방문해서 쿠폰도 열씨미 찍어야겠어요~^^	0
1999378240	4	석쇠쭈꾸미 어랜만에 먹는데 짱맛있었ㅇㅓ요! 구성도 좋고 저렴해서 가성비짱짱!!!!!	0
1999378240	5	석쇠쭈꾸미 안먹어본사람 꼭 가보세여 술안주로도 최고!!	0
1999378240	5	#서울대입구역 #쭈앤쭈 쭈꾸미가 진짜 싱싱해요 기본쭈구미는 매콤하니 불맛도 나서 좋고 치즈얹어져있는건 안맵고 맛있어요 피자는 화덕에 구워서 나오는거라 바삭하니 쭈꾸미랑 같이싸먹기 너무꿀 맛이예요 ^^ 사진에보이는 만두는 쭈꾸미가 들어있어서 쫄깃쫄깃하니 기본의만두식감보다 다르게 쫀득하니맛잇어서 정말좋았어요 ◡̈  세트로 시켜서 배불르게 잘먹고 갑니다◡̈  너모맛있어요!	0
1999378240	5	사장님도 친절하셨어요! 너무 맵지도 않고 적당해서 맛있게 먹었습니다	0
1999378240	5	또 찾아왔네요. 항상올때마다 맛나게 먹고가네요. 서빙보시는 여자분 남자분 다 친절하시고 술이 술술 들어가네요 ~ 또올께요 코로나 화이팅 !	0
1999378240	5	#쭈앤쭈 #서울대입구역근처 #샤로수길 #샤로수길맛집 #쭈꾸미 #쭈꾸미삼겹 #쭈삼 친절한 직원분 맛있고 정갈한 음식 #계란탕 #추천계란탕 계란탕 맛나네요  매콤한 음식과 어울리네요	0
1999378240	5	석쇠쭈꾸미 맛있습니다 . #샤로수길 맛집 인정#	0
1999378240	4	셋트메뉴구성도 좋고 직원분도 친절했어요!!  쭈꾸미도 맛있었어요	0
1999378240	5	친구랑 지나가다가 샤로수길에 쭈앤쭈가! 란생각에 눈에띄여서 들어가보았는데요ㅎㅎ 맛있었어요. 서비스도 좋으시고!! 샤로수길 맛집 인정이예요!!	0
1999378240	5	분위기도 좋고 철판쭈꾸미도 맛있었어요 샤로수길 맛집 인정합니다!🙂	0
1999378240	5	1. 천호동의 먹은 쭈꾸미보다 향, 양념, 식감~~Goood    기본 찬 좋습니다. 2. 먹고 난뒤 비빔밥에 날치알 좋아요.. 가성비 좋습니다. 든든해요~~!! 단점: 음식 나오는 시간이 조금 늦어요. * 서빙서비스 도 좋지만 좀 늦게 나옵니다. ㅠ 감히 샤로수길 맛집 인정합니다.	0
1999378240	5	철판쭈꾸미에 김가루밥 인정!인정! 샤로수길 맛집 인정입니다. 다음엔 석쇠쭈꾸미 먹어봐야겠어요^^	0
1999378240	5	이제껏 먹어본 쭈꾸미중에서 1등입니다. 불향에 살짝 매운 통통한쭈꾸미~~~ 직원들도 친절하시고 맛있게 먹고가요.~~ 다음에 또올께요^^	0
1999378240	5	쭈꾸미랑 만두가 너무 맛있어요 !!!👍👍	0
